# 产品代码: IF,,,
# 查询日期: 2025-09-12,,,
# 生成时间: 2025-09-17 17:08:52,,,
# 查询状态: 成功,,,
,,,
成交量排名,,,
名次,会员简称,成交量,比上交易日增减
1,中信期货(代客),28247,2233
2,国泰君安(代客),20526,-2181
3,海通期货(代客),9712,-988
4,东证期货(代客),9450,-106
5,国信期货(代客),5918,-275
6,中信建投(代客),4900,826
7,华闻期货(代客),4706,97
8,国投期货(代客),4528,404
9,广发期货(代客),3929,371
10,中泰期货(代客),3656,-186
11,华泰期货(代客),3427,362
12,银河期货(代客),3317,-236
13,南华期货(代客),2275,-140
14,光大期货(代客),2272,289
15,浙商期货(代客),2108,593
16,招商期货(代客),1756,-734
17,永安期货(代客),1682,99
18,瑞达期货(代客),1608,-179
19,平安期货(代客),1335,67
20,兴证期货(代客),1324,-358
合计,,116676,-42
,,,
持买单量排名,,,
名次,会员简称,持买单量,比上交易日增减
1,中信期货(代客),6277,1317
2,国泰君安(代客),5357,2185
3,海通期货(代客),4596,934
4,东证期货(代客),3731,774
5,国信期货(代客),1976,255
6,华泰期货(代客),1148,582
7,华闻期货(代客),1121,194
8,南华期货(代客),1071,-50
9,银河期货(代客),871,288
10,广发期货(代客),858,273
11,永安期货(代客),806,562
12,国投期货(代客),734,435
13,一德期货(代客),613,-437
14,东兴期货(代客),571,-70
15,申银万国(代客),558,182
16,招商期货(代客),540,245
17,光大期货(代客),518,130
18,中信建投(代客),481,104
19,中泰期货(代客),456,96
20,平安期货(代客),443,291
合计,,32726,8290
,,,
持卖单量排名,,,
名次,会员简称,持卖单量,比上交易日增减
1,中信期货(代客),18288,3165
2,国泰君安(代客),13668,598
3,海通期货(代客),8447,1075
4,国信期货(代客),5670,150
5,东证期货(代客),5508,1088
6,华闻期货(代客),4239,-29
7,华泰期货(代客),4181,1830
8,广发期货(代客),2844,750
9,中信建投(代客),2835,978
10,银河期货(代客),2549,-341
11,南华期货(代客),2241,47
12,一德期货(代客),2235,29
13,宏源期货(代客),2135,1094
14,中泰期货(代客),1993,416
15,招商期货(代客),1992,95
16,国投期货(代客),1753,19
17,瑞达期货(代客),1715,410
18,永安期货(代客),1429,-47
19,浙商期货(代客),1299,176
20,光大期货(代客),1086,86
合计,,86107,11589
